"","StartDate","EndDate","Status","Progress","Duration (in seconds)","Finished","RecordedDate","DistributionChannel","UserLanguage","competence_1","competence_2","competence_3","competence_4","competence_DO_1","competence_DO_2","competence_DO_3","competence_DO_4","intelligence_1","intelligence_2","intelligence_3","intelligence_4","intelligence_DO_1","intelligence_DO_2","intelligence_DO_3","intelligence_DO_4","fid_manip_1","fid_manip_2","fid_manip_3","fid_manip_4","fid_manip_5","fid_manip_DO_1","fid_manip_DO_2","fid_manip_DO_3","fid_manip_DO_4","fid_manip_DO_5","fie_manip_1","fie_manip_2","fie_manip_3","fie_manip_4","fie_manip_5","fie_manip_DO_1","fie_manip_DO_2","fie_manip_DO_3","fie_manip_DO_4","fie_manip_DO_5","failure_1","failure_2","failure_3","failure_4","failure_5","failure_6","failure_DO_1","failure_DO_2","failure_DO_3","failure_DO_4","failure_DO_5","failure_DO_6","dem_childage","dem_childage_other","dem_education","dem_raceethnicity_1","dem_raceethnicity_2","dem_raceethnicity_3","dem_raceethnicity_4","dem_raceethnicity_5","dem_raceethnicity_6","dem_raceethnicity_7","dem_raceethnicity_8","dem_raceethnicity_7_TEXT","dem_gender_1","dem_gender_2","dem_gender_3","dem_gender_4","dem_gender_5","dem_gender_6","dem_gender_7","dem_gender_8","dem_gender_7_TEXT","debrief_q1","debrief_q2","debrief_q3","prolific_id","FL_8_DO_BiasedManipulation-FailureisDebilitating","FL_8_DO_BiasedManipulation-FailureisEnhancing"
"1",2021-11-20 04:26:54,2021-11-20 04:33:04,"IP Address",100,370,TRUE,2021-11-20 04:33:04,"anonymous","EN",6,6,6,6,2,3,1,4,3,4,2,4,1,4,3,2,6,6,6,5,6,4,1,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,2,2,5,2,5,1,3,6,4,17,"17, 19, 21","College degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Woman or female",NA,NA,NA,NA,NA,NA,NA,NA,"Not sure","Yes","Yes",1,1,NA
"2",2021-11-20 04:22:29,2021-11-20 04:27:03,"IP Address",100,273,TRUE,2021-11-20 04:27:03,"anonymous","EN",5,5,5,5,2,1,4,3,1,1,6,6,1,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,1,2,3,4,5,5,5,5,4,1,4,3,4,1,2,6,5,18,NA,"A high school degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Woman or female",NA,NA,NA,NA,NA,NA,NA,NA,"Perception of failure","Yes","Yes",2,NA,1
"3",2021-11-20 02:25:33,2021-11-20 02:37:23,"IP Address",100,710,TRUE,2021-11-20 02:37:24,"anonymous","EN",5,4,5,5,1,3,4,2,5,4,3,4,4,2,3,1,5,5,5,4,4,2,3,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,3,4,3,6,1,4,2,5,20,"20 only one child","College degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,NA,"Man or male",NA,NA,NA,NA,NA,NA,NA,"building confidence in children so they learn as much from a failure as they do a success","Yes","Yes",3,1,NA
"4",2021-11-20 04:20:30,2021-11-20 04:27:32,"IP Address",100,422,TRUE,2021-11-20 04:27:32,"anonymous","EN",4,3,3,6,2,4,3,1,3,3,4,5,3,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,6,6,5,4,1,3,2,5,6,5,1,6,3,5,1,2,6,3,4,13,NA,"A high school degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Woman or female",NA,NA,NA,NA,NA,NA,NA,NA,"I think it was trying to see how I would deal with my child if they did poorly on a certain subject.","Not sure","NA",4,NA,1
"5",2021-11-20 03:31:30,2021-11-20 03:35:14,"IP Address",100,224,TRUE,2021-11-20 03:35:14,"anonymous","EN",3,4,3,3,1,2,3,4,3,3,4,4,3,2,4,1,4,4,3,3,3,3,5,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,3,3,3,6,1,5,4,2,2,"0","College degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Woman or female",NA,NA,NA,NA,NA,NA,NA,NA,"Reactions to failure","Yes","Yes",5,1,NA
"6",2021-11-20 04:28:31,2021-11-20 04:37:05,"IP Address",100,514,TRUE,2021-11-20 04:37:06,"anonymous","EN",4,5,6,3,2,3,1,4,6,6,2,2,3,4,2,1,3,2,2,3,2,2,5,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,5,3,2,2,6,4,5,3,1,2,17,"27, 25, 20","A high school degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Woman or female",NA,NA,NA,NA,NA,NA,NA,NA,"thoughts and feelings about failures.","No","NA",6,1,NA
"7",2021-11-20 04:11:41,2021-11-20 04:20:37,"IP Address",100,535,TRUE,2021-11-20 04:20:38,"anonymous","EN",4,4,4,4,1,2,3,4,5,5,3,3,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,4,5,2,1,3,5,4,5,3,2,2,1,3,6,2,5,4,16,"18","Prefer not to answer",NA,NA,NA,"Black or African American",NA,NA,NA,NA,NA,"Woman or female",NA,NA,NA,NA,NA,NA,NA,NA,"how failure affects perception of self","No","NA",7,NA,1
"8",2021-11-20 02:29:04,2021-11-20 02:46:18,"IP Address",100,1034,TRUE,2021-11-20 02:46:18,"anonymous","EN",4,5,5,5,3,1,4,2,2,4,5,5,2,3,4,1,4,4,5,4,5,1,2,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,3,4,4,2,6,1,5,4,3,13,"14 and 5","College degree","Hispanic, Latino, or Spanish origin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Man or male",NA,NA,NA,NA,NA,NA,NA,"of real situations that happen in a family with adolescent children and how we react to those situations","Yes","Yes",8,1,NA
"9",2021-11-20 04:24:58,2021-11-20 04:31:48,"IP Address",100,410,TRUE,2021-11-20 04:31:48,"anonymous","EN",4,4,6,6,2,3,1,4,3,3,4,4,2,1,4,3,5,5,5,6,4,5,1,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,4,4,4,4,5,2,1,6,3,17,"25","College degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Woman or female",NA,NA,NA,NA,NA,NA,NA,NA,"I do not know.","No","NA",9,1,NA
"10",2021-11-20 02:05:54,2021-11-20 02:10:10,"IP Address",100,255,TRUE,2021-11-20 02:10:10,"anonymous","EN",6,5,5,6,3,1,4,2,2,3,4,4,1,4,2,3,5,4,4,4,3,2,4,1,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,5,5,4,1,5,6,3,4,2,33,NA,"A high school degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,NA,"Man or male",NA,NA,NA,NA,NA,NA,NA,"the effects of failure on our minds","No","NA",10,1,NA
